commit_order,commit,short_commit,commit_time,subject,directory,config,workload,slice,checkpoint,weight,instructions,cycles,ipc,source
1,a355c5525a87981a89f50020ef4ddba8a29884df,a355c5525,2026-09-01T10:50:50+08:00,chore(docker): remove LC_ALL ENV (#6446),cr260901-a355c5525-DefaultConfig,DefaultConfig,mcf,mcf_6753_0.218742,6753,0.218742,40000004,65874404,0.607216,/nfs/home/cirunner/perf-report/cr260901-a355c5525-DefaultConfig/mcf_6753_0.218742/simulator_out.txt
1,a355c5525a87981a89f50020ef4ddba8a29884df,a355c5525,2026-09-01T10:50:50+08:00,chore(docker): remove LC_ALL ENV (#6446),cr260901-a355c5525-DefaultConfig,DefaultConfig,mcf,mcf_12886_0.149435,12886,0.149435,40000000,50601625,0.790488,/nfs/home/cirunner/perf-report/cr260901-a355c5525-DefaultConfig/mcf_12886_0.149435/simulator_out.txt
1,a355c5525a87981a89f50020ef4ddba8a29884df,a355c5525,2026-09-01T10:50:50+08:00,chore(docker): remove LC_ALL ENV (#6446),cr260901-a355c5525-DefaultConfig,DefaultConfig,mcf,mcf_11326_0.14473,11326,0.14473,40000000,27504686,1.454298,/nfs/home/cirunner/perf-report/cr260901-a355c5525-DefaultConfig/mcf_11326_0.14473/simulator_out.txt
1,a355c5525a87981a89f50020ef4ddba8a29884df,a355c5525,2026-09-01T10:50:50+08:00,chore(docker): remove LC_ALL ENV (#6446),cr260901-a355c5525-DefaultConfig,DefaultConfig,mcf,mcf_5365_0.097943,5365,0.097943,40000000,27868717,1.435301,/nfs/home/cirunner/perf-report/cr260901-a355c5525-DefaultConfig/mcf_5365_0.097943/simulator_out.txt
1,a355c5525a87981a89f50020ef4ddba8a29884df,a355c5525,2026-09-01T10:50:50+08:00,chore(docker): remove LC_ALL ENV (#6446),cr260901-a355c5525-DefaultConfig,DefaultConfig,mcf,mcf_9639_0.0953213,9639,0.0953213,40000000,66140582,0.604772,/nfs/home/cirunner/perf-report/cr260901-a355c5525-DefaultConfig/mcf_9639_0.0953213/simulator_out.txt
2,017a698e051a699f6afb87b8ee310feeb1c0f52c,017a698e0,2026-09-04T16:48:37+08:00,timing(MemBlock): fix timing path of bitmap & LRQ,cr260904-017a698e0-DefaultConfig,DefaultConfig,mcf,mcf_6753_0.218742,6753,0.218742,40000004,63159742,0.633315,/nfs/home/cirunner/perf-report/cr260904-017a698e0-DefaultConfig/mcf_6753_0.218742/simulator_out.txt
2,017a698e051a699f6afb87b8ee310feeb1c0f52c,017a698e0,2026-09-04T16:48:37+08:00,timing(MemBlock): fix timing path of bitmap & LRQ,cr260904-017a698e0-DefaultConfig,DefaultConfig,mcf,mcf_12886_0.149435,12886,0.149435,40000000,50110058,0.798243,/nfs/home/cirunner/perf-report/cr260904-017a698e0-DefaultConfig/mcf_12886_0.149435/simulator_out.txt
2,017a698e051a699f6afb87b8ee310feeb1c0f52c,017a698e0,2026-09-04T16:48:37+08:00,timing(MemBlock): fix timing path of bitmap & LRQ,cr260904-017a698e0-DefaultConfig,DefaultConfig,mcf,mcf_11326_0.14473,11326,0.14473,40000000,26884424,1.48785,/nfs/home/cirunner/perf-report/cr260904-017a698e0-DefaultConfig/mcf_11326_0.14473/simulator_out.txt
2,017a698e051a699f6afb87b8ee310feeb1c0f52c,017a698e0,2026-09-04T16:48:37+08:00,timing(MemBlock): fix timing path of bitmap & LRQ,cr260904-017a698e0-DefaultConfig,DefaultConfig,mcf,mcf_5365_0.097943,5365,0.097943,40000000,27109242,1.475512,/nfs/home/cirunner/perf-report/cr260904-017a698e0-DefaultConfig/mcf_5365_0.097943/simulator_out.txt
2,017a698e051a699f6afb87b8ee310feeb1c0f52c,017a698e0,2026-09-04T16:48:37+08:00,timing(MemBlock): fix timing path of bitmap & LRQ,cr260904-017a698e0-DefaultConfig,DefaultConfig,mcf,mcf_9639_0.0953213,9639,0.0953213,40000002,63270713,0.632204,/nfs/home/cirunner/perf-report/cr260904-017a698e0-DefaultConfig/mcf_9639_0.0953213/simulator_out.txt
3,df157ddd3d6c85be858c20b23ddcf3cd70b74466,df157ddd3,2026-09-07T10:34:20+08:00,perf(rename): balance free-list refills across banks,cr260907-df157ddd3-DefaultConfig,DefaultConfig,mcf,mcf_6753_0.218742,6753,0.218742,40000004,63412283,0.630793,/nfs/home/cirunner/perf-report/cr260907-df157ddd3-DefaultConfig/mcf_6753_0.218742/simulator_out.txt
3,df157ddd3d6c85be858c20b23ddcf3cd70b74466,df157ddd3,2026-09-07T10:34:20+08:00,perf(rename): balance free-list refills across banks,cr260907-df157ddd3-DefaultConfig,DefaultConfig,mcf,mcf_12886_0.149435,12886,0.149435,40000000,50014081,0.799775,/nfs/home/cirunner/perf-report/cr260907-df157ddd3-DefaultConfig/mcf_12886_0.149435/simulator_out.txt
